object,cabinet#130,cabinet#134,cabinet#135,cabinet#136,cabinet#140,cabinet#141,cabinet#143,cabinet#145,cabinet#146,cabinet#147,chair#131,chair#132,chair#139,clock#137,coffee maker#138,coffee maker#142,dining table#133,outlet#144,picture frame#129,refrigerator#128,clock#200,couch#199,shelf#202,side table#201,side table#203,side table#204,side table#205,cabinet#523,cabinet#524,cabinet#525,cabinet#526,cabinet#527,chair#518,chair#519,coffee maker#529,coffee maker#531,fireplace#528,fireplace#530,microwave#520,oven#521,side table#522,side table#532,chair#593,clock#589,couch#588,couch#592,fireplace#594,fireplace#595,side table#587,side table#590,table lamp#591
chair#132,0.572338,0.558962,0.528247,0.493538,0.532970,0.601555,0.553886,0.537873,0.517442,0.515109,0.778310,1.000000,0.756528,0.370430,0.303140,0.358384,0.481324,0.352941,0.330160,0.344414,0.355414,0.512706,0.352341,0.478496,0.493350,0.522956,0.521169,0.487075,0.495022,0.522801,0.498937,0.553554,0.584447,0.808176,0.374755,0.371720,0.337056,0.362598,0.287760,0.413102,0.548411,0.442992,0.560518,0.312571,0.512258,0.500609,0.373466,0.397721,0.523574,0.526193,0.338706
chair#139,0.622707,0.596942,0.572867,0.575639,0.597973,0.612183,0.586667,0.596423,0.582503,0.552520,0.658282,0.756528,1.000000,0.398759,0.328443,0.384937,0.651245,0.435997,0.417160,0.388189,0.386324,0.617650,0.412143,0.573534,0.543712,0.584288,0.597169,0.551807,0.533385,0.564792,0.546361,0.612973,0.637278,0.552175,0.413881,0.415992,0.396969,0.430476,0.325158,0.488190,0.579812,0.484974,0.628764,0.331132,0.610266,0.603491,0.397246,0.457786,0.513262,0.539437,0.450466
clock#137,0.450772,0.433208,0.474899,0.409875,0.435600,0.481833,0.473982,0.395672,0.492261,0.431077,0.345187,0.370430,0.398759,1.000000,0.442133,0.532299,0.433531,0.585306,0.335584,0.465379,0.927463,0.437070,0.401156,0.419983,0.348347,0.483043,0.401839,0.502941,0.431175,0.466307,0.413727,0.513232,0.508887,0.391040,0.568258,0.574352,0.515272,0.538153,0.478304,0.415272,0.463836,0.521296,0.365590,0.793927,0.450153,0.407191,0.439196,0.522410,0.394266,0.432375,0.477883
coffee maker#138,0.425310,0.365652,0.371889,0.418411,0.413223,0.459287,0.480908,0.426658,0.463560,0.435175,0.293016,0.303140,0.328443,0.442133,1.000000,0.755050,0.417150,0.467695,0.377619,0.447159,0.431685,0.446111,0.363966,0.387586,0.351506,0.449526,0.372727,0.520847,0.429072,0.444279,0.441560,0.446142,0.390868,0.253009,0.754241,0.720267,0.406872,0.476192,0.465319,0.470516,0.441141,0.481917,0.369688,0.415658,0.372270,0.383257,0.443220,0.433660,0.344333,0.409015,0.347863
coffee maker#142,0.447053,0.396178,0.409861,0.475339,0.500119,0.508213,0.526338,0.439046,0.538647,0.449348,0.322394,0.358384,0.384937,0.532299,0.755050,1.000000,0.510205,0.591355,0.360274,0.615114,0.514657,0.485444,0.496925,0.465440,0.378726,0.497114,0.411193,0.552511,0.421795,0.466261,0.463146,0.498244,0.517551,0.308502,0.909463,0.879514,0.479445,0.537921,0.621017,0.577768,0.482031,0.506899,0.405310,0.457191,0.429540,0.426950,0.484866,0.492763,0.412744,0.429264,0.459801
dining table#133,0.559470,0.542021,0.562359,0.620386,0.639047,0.559363,0.583964,0.556988,0.655768,0.525506,0.435739,0.481324,0.651245,0.433531,0.417150,0.510205,1.000000,0.536923,0.374604,0.505059,0.402687,0.589118,0.433115,0.549655,0.504582,0.670850,0.611892,0.616187,0.559070,0.520929,0.584842,0.600908,0.560151,0.369634,0.503729,0.561159,0.478722,0.477252,0.455329,0.448420,0.654170,0.571977,0.453465,0.309046,0.483141,0.452269,0.450044,0.510150,0.453101,0.557168,0.489904
outlet#144,0.538678,0.481788,0.468534,0.486382,0.575304,0.539968,0.572632,0.513966,0.621052,0.564609,0.263250,0.352941,0.435997,0.585306,0.467695,0.591355,0.536923,1.000000,0.400350,0.579515,0.520872,0.517821,0.537262,0.390706,0.384704,0.547239,0.421284,0.622168,0.506413,0.570809,0.541239,0.606882,0.540828,0.352856,0.580228,0.625566,0.550513,0.535035,0.542625,0.531807,0.518312,0.485026,0.388819,0.484650,0.455830,0.421870,0.503683,0.542232,0.318816,0.411138,0.477921
picture frame#129,0.509929,0.444143,0.430851,0.378642,0.507741,0.442851,0.493889,0.508846,0.431884,0.524777,0.258865,0.330160,0.417160,0.335584,0.377619,0.360274,0.374604,0.400350,1.000000,0.303058,0.318073,0.389216,0.320538,0.383724,0.381677,0.427994,0.387584,0.477525,0.430110,0.490087,0.460835,0.527332,0.357424,0.300084,0.352071,0.376116,0.310279,0.347129,0.288557,0.394192,0.383006,0.315407,0.292322,0.264178,0.337581,0.336187,0.362379,0.357725,0.292674,0.388944,0.277811
refrigerator#128,0.567793,0.530959,0.598191,0.598122,0.623302,0.602338,0.605252,0.518571,0.672860,0.514730,0.269018,0.344414,0.388189,0.465379,0.447159,0.615114,0.505059,0.579515,0.303058,1.000000,0.473605,0.470592,0.583158,0.337736,0.303832,0.458869,0.395039,0.629297,0.544382,0.528212,0.587128,0.644430,0.540742,0.259615,0.611187,0.692916,0.504374,0.557237,0.762760,0.587792,0.425117,0.472531,0.381400,0.385531,0.482211,0.446748,0.497759,0.446093,0.287243,0.339136,0.378940
clock#200,0.452844,0.414367,0.455737,0.403526,0.432265,0.479506,0.487316,0.396255,0.481292,0.443541,0.347895,0.355414,0.386324,0.927463,0.431685,0.514657,0.402687,0.520872,0.318073,0.473605,1.000000,0.416035,0.360981,0.382276,0.353169,0.458342,0.403617,0.489469,0.415288,0.472459,0.422126,0.492007,0.452720,0.375576,0.565027,0.552479,0.475532,0.534279,0.481320,0.399228,0.423948,0.513627,0.331228,0.792316,0.446037,0.402455,0.447611,0.474715,0.395529,0.415698,0.448875
