object,cabinet#130,cabinet#134,cabinet#135,cabinet#136,cabinet#140,cabinet#141,cabinet#143,cabinet#145,cabinet#146,cabinet#147,chair#131,chair#132,chair#139,clock#137,coffee maker#138,coffee maker#142,dining table#133,outlet#144,picture frame#129,refrigerator#128,clock#200,couch#199,shelf#202,side table#201,side table#203,side table#204,side table#205,cabinet#523,cabinet#524,cabinet#525,cabinet#526,cabinet#527,chair#518,chair#519,coffee maker#529,coffee maker#531,fireplace#528,fireplace#530,microwave#520,oven#521,side table#522,side table#532,chair#593,clock#589,couch#588,couch#592,fireplace#594,fireplace#595,side table#587,side table#590,table lamp#591
chair#131,0.484879,0.309637,0.392424,0.365433,0.373678,0.399537,0.484879,0.458067,0.389798,0.437424,1.000000,0.627299,0.481387,0.182336,0.276636,0.265146,0.263585,0.195633,0.343227,0.166002,0.226070,0.387143,0.151504,0.380693,0.428582,0.421939,0.360074,0.326761,0.357869,0.370425,0.412938,0.388563,0.382193,0.551151,0.309342,0.244093,0.210938,0.187530,0.190308,0.270480,0.403210,0.256830,0.423288,0.234652,0.445103,0.452389,0.154904,0.266276,0.444653,0.357905,0.216512
chair#132,0.432420,0.366660,0.425454,0.336018,0.420694,0.482666,0.432420,0.412160,0.449720,0.477343,0.627299,1.000000,0.653721,0.185611,0.305340,0.266592,0.199810,0.237418,0.327831,0.095778,0.267295,0.350455,0.133920,0.439921,0.474023,0.406095,0.350078,0.321797,0.416244,0.435099,0.437328,0.433311,0.327917,0.722871,0.290717,0.300775,0.226895,0.226660,0.065749,0.245322,0.477481,0.251137,0.427730,0.191689,0.347684,0.455757,0.207277,0.262633,0.439886,0.417055,0.196958
chair#139,0.490614,0.492354,0.629992,0.573636,0.597359,0.606229,0.490614,0.437610,0.679185,0.700913,0.481387,0.653721,1.000000,0.226119,0.414964,0.346830,0.373289,0.368947,0.382405,0.164241,0.313982,0.575013,0.158917,0.708848,0.636052,0.563332,0.537569,0.390421,0.629477,0.634552,0.609710,0.681374,0.481415,0.603811,0.362032,0.457515,0.209017,0.261083,0.125453,0.275852,0.753243,0.309468,0.673046,0.177654,0.420110,0.576404,0.261178,0.230982,0.587960,0.690229,0.159189
clock#137,0.260270,0.253107,0.226044,0.253513,0.233899,0.250418,0.260270,0.256486,0.250573,0.280554,0.182336,0.185611,0.226119,1.000000,0.201371,0.211779,0.211853,0.327616,0.251362,0.186349,0.748924,0.176464,0.226190,0.204500,0.212948,0.211675,0.223036,0.274234,0.272289,0.288646,0.212180,0.265604,0.228228,0.288205,0.247527,0.177296,0.298605,0.173867,0.233697,0.117966,0.209864,0.252717,0.242220,0.572553,0.262922,0.247478,0.141852,0.316006,0.226032,0.210738,0.278568
coffee maker#138,0.354881,0.339076,0.387688,0.361945,0.313872,0.452731,0.354881,0.353528,0.417999,0.466652,0.276636,0.305340,0.414964,0.201371,1.000000,0.588403,0.267941,0.394281,0.230610,0.255020,0.284864,0.317260,0.181545,0.459976,0.381194,0.387066,0.441150,0.346117,0.416238,0.439025,0.379797,0.435741,0.254976,0.240125,0.685151,0.828662,0.387595,0.399529,0.269793,0.273030,0.433398,0.362392,0.455586,0.239322,0.303002,0.404596,0.235727,0.376780,0.368503,0.460029,0.198528
coffee maker#142,0.315572,0.295378,0.295820,0.311113,0.354186,0.379773,0.315572,0.291237,0.362744,0.379999,0.265146,0.266592,0.346830,0.211779,0.588403,1.000000,0.181415,0.340856,0.268447,0.395134,0.217270,0.262846,0.296094,0.368682,0.378195,0.315712,0.309797,0.357784,0.336509,0.392583,0.348577,0.349506,0.273249,0.213694,0.754715,0.694511,0.269253,0.299411,0.368984,0.264172,0.374193,0.270874,0.340744,0.253864,0.293670,0.376090,0.200822,0.300087,0.353945,0.360167,0.252785
dining table#133,0.367895,0.291808,0.369130,0.511958,0.331257,0.381751,0.367895,0.386261,0.428047,0.399867,0.263585,0.199810,0.373289,0.211853,0.267941,0.181415,1.000000,0.219180,0.327046,0.172536,0.280258,0.259629,0.103696,0.484750,0.487138,0.448626,0.432162,0.326956,0.459845,0.420734,0.375559,0.454619,0.246899,0.279783,0.266908,0.284025,0.301767,0.278915,0.170648,0.233697,0.491372,0.332488,0.315947,0.192077,0.266898,0.266095,0.254736,0.337420,0.497639,0.495716,0.291573
outlet#144,0.317065,0.260571,0.298091,0.412554,0.395401,0.482497,0.317065,0.328980,0.434705,0.479222,0.195633,0.237418,0.368947,0.327616,0.394281,0.340856,0.219180,1.000000,0.324950,0.209185,0.250168,0.306629,0.360489,0.443322,0.374800,0.326582,0.330501,0.350118,0.455290,0.493483,0.357690,0.455064,0.223132,0.320578,0.316860,0.415910,0.411787,0.254204,0.250803,0.149093,0.393063,0.280676,0.424819,0.410910,0.290898,0.325023,0.212925,0.396671,0.333252,0.445341,0.309900
picture frame#129,0.551436,0.262521,0.290801,0.383012,0.497636,0.342695,0.551436,0.504672,0.382552,0.455295,0.343227,0.327831,0.382405,0.251362,0.230610,0.268447,0.327046,0.324950,1.000000,0.255118,0.377872,0.251683,0.203633,0.386563,0.389310,0.379946,0.367774,0.307871,0.383506,0.405884,0.394171,0.386640,0.292281,0.377099,0.249760,0.263169,0.250863,0.254864,0.281548,0.324144,0.368066,0.252342,0.361780,0.310830,0.382341,0.371920,0.212004,0.334688,0.401166,0.366061,0.282283
refrigerator#128,0.397730,0.321576,0.343348,0.305115,0.325530,0.313596,0.397730,0.373828,0.275746,0.311055,0.166002,0.095778,0.164241,0.186349,0.255020,0.395134,0.172536,0.209185,0.255118,1.000000,0.162369,0.153657,0.340319,0.192867,0.187770,0.207494,0.243241,0.350073,0.294879,0.312233,0.286420,0.288104,0.243349,0.127810,0.261800,0.327437,0.234184,0.282481,0.344329,0.278687,0.198228,0.266967,0.243246,0.253601,0.337616,0.283897,0.283756,0.285004,0.262123,0.191519,0.199030
clock#200,0.424425,0.380113,0.338933,0.339662,0.274194,0.362049,0.424425,0.429729,0.365280,0.386314,0.226070,0.267295,0.313982,0.748924,0.284864,0.217270,0.280258,0.250168,0.377872,0.162369,1.000000,0.258174,0.159172,0.338674,0.366616,0.334043,0.389391,0.394869,0.390007,0.391830,0.343622,0.385206,0.241894,0.287966,0.289674,0.285160,0.255479,0.285651,0.229031,0.179664,0.346764,0.349380,0.354900,0.436536,0.343669,0.356127,0.270168,0.278428,0.338762,0.351553,0.299203
couch#199,0.368757,0.395725,0.440237,0.428134,0.445900,0.458698,0.368757,0.309215,0.484145,0.526212,0.387143,0.350455,0.575013,0.176464,0.317260,0.262846,0.259629,0.306629,0.251683,0.153657,0.258174,1.000000,0.123732,0.506935,0.444934,0.429901,0.553004,0.291990,0.469530,0.443865,0.409762,0.498326,0.575366,0.345836,0.281270,0.330739,0.205633,0.250412,0.152227,0.314912,0.518595,0.304764,0.671683,0.148583,0.571857,0.587222,0.271076,0.220005,0.446466,0.516278,0.177119
shelf#202,0.268116,0.248048,0.280388,0.240062,0.230560,0.250397,0.268116,0.272017,0.228095,0.255919,0.151504,0.133920,0.158917,0.226190,0.181545,0.296094,0.103696,0.360489,0.203633,0.340319,0.159172,0.123732,1.000000,0.215362,0.189391,0.199195,0.253282,0.334791,0.257547,0.283830,0.261028,0.253947,0.235109,0.169512,0.311241,0.245603,0.293915,0.206878,0.237846,0.193898,0.236408,0.229459,0.201016,0.308982,0.216531,0.276202,0.156495,0.292484,0.255693,0.233777,0.295757
side table#201,0.482002,0.396110,0.642781,0.675335,0.542170,0.656774,0.482002,0.494949,0.721557,0.686054,0.380693,0.439921,0.708848,0.204500,0.459976,0.368682,0.484750,0.443322,0.386563,0.192867,0.338674,0.506935,0.215362,1.000000,0.848747,0.822620,0.723636,0.422187,0.672993,0.680834,0.615163,0.756305,0.351768,0.463006,0.336344,0.491029,0.275477,0.285189,0.183536,0.207310,0.937841,0.523015,0.583420,0.229776,0.406414,0.489984,0.281626,0.295239,0.816217,0.956656,0.310817
side table#203,0.520741,0.388056,0.577540,0.577155,0.500595,0.617611,0.520741,0.546468,0.666075,0.626525,0.428582,0.474023,0.636052,0.212948,0.381194,0.378195,0.487138,0.374800,0.389310,0.187770,0.366616,0.444934,0.189391,0.848747,1.000000,0.786767,0.631737,0.433628,0.602704,0.614395,0.644190,0.671258,0.347066,0.420576,0.358899,0.405623,0.260091,0.297491,0.183104,0.274803,0.852582,0.534982,0.489172,0.271226,0.433061,0.479388,0.294399,0.294818,0.805050,0.820133,0.308540
side table#204,0.528620,0.381674,0.549602,0.624303,0.475536,0.530178,0.528620,0.549986,0.638209,0.575502,0.421939,0.406095,0.563332,0.211675,0.387066,0.315712,0.448626,0.326582,0.379946,0.207494,0.334043,0.429901,0.199195,0.822620,0.786767,1.000000,0.669684,0.410495,0.571986,0.552623,0.583354,0.644189,0.384075,0.431185,0.375329,0.390122,0.260630,0.283682,0.220450,0.277926,0.792029,0.527372,0.470375,0.247732,0.408318,0.477978,0.272729,0.308527,0.837201,0.814018,0.305982
side table#205,0.504370,0.429216,0.516275,0.485182,0.380669,0.495709,0.504370,0.476648,0.469298,0.525614,0.360074,0.350078,0.537569,0.223036,0.441150,0.309797,0.432162,0.330501,0.367774,0.243241,0.389391,0.553004,0.253282,0.723636,0.631737,0.669684,1.000000,0.409999,0.486986,0.471837,0.476710,0.517679,0.369760,0.347577,0.371019,0.458831,0.271678,0.324433,0.246474,0.287587,0.739426,0.562353,0.531401,0.259318,0.499501,0.510473,0.288070,0.289791,0.668474,0.739196,0.362137
cabinet#523,0.694251,0.688319,0.562173,0.511605,0.414761,0.624467,0.694251,0.714528,0.541525,0.649995,0.326761,0.321797,0.390421,0.274234,0.346117,0.357784,0.326956,0.350118,0.307871,0.350073,0.394869,0.291990,0.334791,0.422187,0.433628,0.410495,0.409999,1.000000,0.617979,0.746937,0.622033,0.570108,0.321304,0.262766,0.423006,0.411577,0.295207,0.313156,0.290292,0.293474,0.456558,0.408365,0.413605,0.212118,0.382206,0.450642,0.388602,0.313042,0.462854,0.431456,0.224258
cabinet#524,0.626173,0.622331,0.730108,0.784609,0.709991,0.803810,0.626173,0.647518,0.874717,0.832586,0.357869,0.416244,0.629477,0.272289,0.416238,0.336509,0.459845,0.455290,0.383506,0.294879,0.390007,0.469530,0.257547,0.672993,0.602704,0.571986,0.486986,0.617979,1.000000,0.834544,0.800888,0.914593,0.392921,0.485011,0.347751,0.440905,0.335497,0.281934,0.195925,0.331711,0.655488,0.365326,0.596709,0.204619,0.386817,0.489415,0.310208,0.343308,0.581945,0.711691,0.241803
cabinet#525,0.721207,0.615515,0.689125,0.746650,0.709901,0.814588,0.721207,0.725889,0.841395,0.916036,0.370425,0.435099,0.634552,0.288646,0.439025,0.392583,0.420734,0.493483,0.405884,0.312233,0.391830,0.443865,0.283830,0.680834,0.614395,0.552623,0.471837,0.746937,0.834544,1.000000,0.766705,0.862773,0.379070,0.466906,0.374010,0.481593,0.306982,0.319490,0.275119,0.353202,0.653636,0.380925,0.594322,0.230781,0.402847,0.496608,0.359278,0.337854,0.571457,0.671721,0.214907
cabinet#526,0.698180,0.613480,0.712800,0.689265,0.674171,0.689858,0.698180,0.739057,0.814437,0.777234,0.412938,0.437328,0.609710,0.212180,0.379797,0.348577,0.375559,0.357690,0.394171,0.286420,0.343622,0.409762,0.261028,0.615163,0.644190,0.583354,0.476710,0.622033,0.800888,0.766705,1.000000,0.801872,0.362811,0.435591,0.372110,0.418522,0.242032,0.293061,0.218023,0.327470,0.651302,0.385633,0.512646,0.216796,0.406376,0.503746,0.309639,0.290921,0.590372,0.614967,0.221768
cabinet#527,0.631118,0.563202,0.747058,0.848563,0.776647,0.815004,0.631118,0.633035,0.966951,0.871957,0.388563,0.433311,0.681374,0.265604,0.435741,0.349506,0.454619,0.455064,0.386640,0.288104,0.385206,0.498326,0.253947,0.756305,0.671258,0.644189,0.517679,0.570108,0.914593,0.862773,0.801872,1.000000,0.404647,0.527851,0.357080,0.451565,0.305283,0.295009,0.237745,0.332344,0.716926,0.390368,0.633711,0.225266,0.407738,0.510991,0.312291,0.326015,0.639803,0.778046,0.224209
chair#518,0.363558,0.452996,0.409161,0.341320,0.434686,0.378041,0.363558,0.311145,0.384272,0.437291,0.382193,0.327917,0.481415,0.228228,0.254976,0.273249,0.246899,0.223132,0.292281,0.243349,0.241894,0.575366,0.235109,0.351768,0.347066,0.384075,0.369760,0.321304,0.392921,0.379070,0.362811,0.404647,1.000000,0.290909,0.336520,0.261969,0.153563,0.203351,0.185441,0.372288,0.401445,0.229854,0.679089,0.214235,0.508033,0.819810,0.250966,0.182801,0.417502,0.374470,0.118330
chair#519,0.411111,0.296766,0.355343,0.486460,0.525215,0.433554,0.411111,0.393201,0.531882,0.483366,0.551151,0.722871,0.603811,0.288205,0.240125,0.213694,0.279783,0.320578,0.377099,0.127810,0.287966,0.345836,0.169512,0.463006,0.420576,0.431185,0.347577,0.262766,0.485011,0.466906,0.435591,0.527851,0.290909,1.000000,0.259633,0.221131,0.245115,0.237121,0.158147,0.207676,0.448727,0.241087,0.410053,0.231023,0.256988,0.310132,0.168974,0.278334,0.407000,0.461164,0.223503
coffee maker#529,0.359697,0.383580,0.338482,0.342289,0.299848,0.356513,0.359697,0.348794,0.362978,0.378702,0.309342,0.290717,0.362032,0.247527,0.685151,0.754715,0.266908,0.316860,0.249760,0.261800,0.289674,0.281270,0.311241,0.336344,0.358899,0.375329,0.371019,0.423006,0.347751,0.374010,0.372110,0.357080,0.336520,0.259633,1.000000,0.689634,0.362643,0.376338,0.300309,0.312031,0.365400,0.352048,0.361962,0.250599,0.321229,0.423662,0.275048,0.370547,0.417784,0.347777,0.238886
coffee maker#531,0.368004,0.383059,0.438202,0.388057,0.349576,0.467492,0.368004,0.360390,0.440452,0.486681,0.244093,0.300775,0.457515,0.177296,0.828662,0.694511,0.284025,0.415910,0.263169,0.327437,0.285160,0.330739,0.245603,0.491029,0.405623,0.390122,0.458831,0.411577,0.440905,0.481593,0.418522,0.451565,0.261969,0.221131,0.689634,1.000000,0.354995,0.394293,0.329456,0.265129,0.494455,0.377630,0.453133,0.218150,0.314517,0.434898,0.263058,0.350424,0.392532,0.478650,0.199171
fireplace#528,0.288620,0.217813,0.213038,0.306093,0.199915,0.307109,0.288620,0.309507,0.295944,0.296945,0.210938,0.226895,0.209017,0.298605,0.387595,0.269253,0.301767,0.411787,0.250863,0.234184,0.255479,0.205633,0.293915,0.275477,0.260091,0.260630,0.271678,0.295207,0.335497,0.306982,0.242032,0.305283,0.153563,0.245115,0.362643,0.354995,1.000000,0.590784,0.282433,0.277489,0.250975,0.290455,0.281331,0.438593,0.333995,0.275250,0.456469,0.928525,0.308401,0.287401,0.281987
fireplace#530,0.342630,0.245800,0.255046,0.277407,0.203846,0.292011,0.342630,0.378964,0.294574,0.291487,0.187530,0.226660,0.261083,0.173867,0.399529,0.299411,0.278915,0.254204,0.254864,0.282481,0.285651,0.250412,0.206878,0.285189,0.297491,0.283682,0.324433,0.313156,0.281934,0.319490,0.293061,0.295009,0.203351,0.237121,0.376338,0.394293,0.590784,1.000000,0.277168,0.332063,0.285123,0.322651,0.294901,0.234090,0.311732,0.284129,0.683806,0.601476,0.347285,0.291111,0.208667
