object,cabinet#130,cabinet#134,cabinet#135,cabinet#136,cabinet#140,cabinet#141,cabinet#143,cabinet#145,cabinet#146,cabinet#147,chair#131,chair#132,chair#139,clock#137,coffee maker#138,coffee maker#142,dining table#133,outlet#144,picture frame#129,refrigerator#128,clock#200,couch#199,shelf#202,side table#201,side table#203,side table#204,side table#205,cabinet#523,cabinet#524,cabinet#525,cabinet#526,cabinet#527,chair#518,chair#519,coffee maker#529,coffee maker#531,fireplace#528,fireplace#530,microwave#520,oven#521,side table#522,side table#532,chair#593,clock#589,couch#588,couch#592,fireplace#594,fireplace#595,side table#587,side table#590,table lamp#591
chair#132,0.077983,0.304449,0.032348,0.016000,0.050532,0.126191,0.144114,0.199220,0.089491,0.320111,0.018216,1.000000,0.928510,0.018092,0.184413,0.044821,0.011474,0.009530,0.010333,0.352868,0.031425,0.000007,0.175507,0.000062,0.000054,0.000050,0.000050,0.005382,0.043595,0.001354,0.001769,0.000707,0.000321,0.018769,0.056900,0.059686,0.000002,0.000002,0.002491,0.003742,0.000039,0.000001,0.001948,0.047876,0.000004,0.001945,0.000015,0.000016,0.001910,0.000304,0.002219
chair#139,0.031203,0.177083,0.011232,0.005205,0.018685,0.053698,0.064282,0.095399,0.035779,0.193559,0.007631,0.928510,1.000000,0.009382,0.084569,0.015971,0.004222,0.003255,0.006625,0.200344,0.022099,0.000003,0.214138,0.000024,0.000021,0.000018,0.000019,0.001549,0.015851,0.000360,0.000463,0.000172,0.000081,0.008322,0.021149,0.022363,0.000000,0.000000,0.000674,0.001089,0.000008,0.000000,0.000567,0.027185,0.000001,0.000566,0.000003,0.000003,0.000789,0.000074,0.000943
clock#137,0.046648,0.193385,0.070527,0.122676,0.101673,0.071900,0.071099,0.106913,0.064197,0.222956,0.561125,0.018092,0.009382,1.000000,0.068459,0.050715,0.430517,0.301776,0.745958,0.214921,0.708333,0.068691,0.067544,0.132570,0.128655,0.136417,0.128952,0.128988,0.084859,0.114960,0.116004,0.100189,0.108373,0.705416,0.074245,0.076325,0.009250,0.008636,0.134933,0.142302,0.040159,0.009217,0.219686,0.930328,0.027074,0.219590,0.025967,0.028959,0.520397,0.104301,0.653694
coffee maker#138,0.852282,0.604955,0.705110,0.444618,0.758490,0.955060,0.937765,0.932180,0.907197,0.533360,0.163723,0.184413,0.084569,0.068459,1.000000,0.803478,0.190760,0.220968,0.014469,0.734393,0.029100,0.000155,0.010493,0.000832,0.000811,0.000916,0.000802,0.298326,0.763115,0.101601,0.159350,0.090620,0.032708,0.132872,0.844407,0.853138,0.001312,0.001503,0.184931,0.181093,0.009095,0.000495,0.099926,0.115315,0.001272,0.099863,0.005701,0.005863,0.019563,0.035849,0.020727
coffee maker#142,0.833971,0.322406,0.900944,0.694178,0.918619,0.889220,0.772320,0.689198,0.941025,0.267890,0.178449,0.044821,0.015971,0.050715,0.803478,1.000000,0.255557,0.332919,0.007810,0.422492,0.012709,0.000258,0.001762,0.001189,0.001201,0.001441,0.001213,0.553926,0.904873,0.235473,0.350850,0.232589,0.086642,0.131614,0.985721,0.982667,0.007083,0.008023,0.392437,0.355896,0.032983,0.002542,0.200268,0.071701,0.005163,0.200189,0.023928,0.024300,0.023261,0.098235,0.023113
dining table#133,0.138906,0.147460,0.252192,0.646234,0.443849,0.262255,0.162671,0.193527,0.276644,0.145992,0.932475,0.011474,0.004222,0.430517,0.190760,0.255557,1.000000,0.963338,0.165829,0.244853,0.120466,0.053838,0.006818,0.129757,0.130650,0.144462,0.131578,0.500954,0.271834,0.686740,0.446792,0.449763,0.570184,0.848565,0.311753,0.313482,0.090445,0.097205,0.577913,0.772320,0.296741,0.071920,0.827794,0.381340,0.138230,0.827607,0.208447,0.211147,0.539876,0.548784,0.510512
outlet#144,0.172369,0.134006,0.317077,0.781286,0.536932,0.312700,0.187752,0.209473,0.340849,0.127600,0.821599,0.009530,0.003255,0.301776,0.220968,0.332919,0.963338,1.000000,0.095888,0.228855,0.070591,0.034152,0.003542,0.086789,0.088201,0.099581,0.089198,0.606858,0.332252,0.808068,0.539029,0.543355,0.630135,0.701608,0.387916,0.388150,0.111714,0.121971,0.690995,0.900837,0.345914,0.080440,0.884490,0.269773,0.143927,0.884328,0.251309,0.251876,0.404576,0.618685,0.370547
picture frame#129,0.007129,0.066626,0.010491,0.025572,0.020348,0.014887,0.013624,0.024739,0.012221,0.085521,0.283536,0.010333,0.006625,0.745958,0.014469,0.007810,0.165829,0.095888,1.000000,0.079711,0.815246,0.090610,0.128231,0.161931,0.152398,0.148177,0.149477,0.021572,0.013759,0.026218,0.018834,0.016906,0.029556,0.407539,0.012932,0.013475,0.001789,0.001685,0.024405,0.033412,0.009572,0.002495,0.062388,0.677863,0.008518,0.062352,0.005361,0.005969,0.412073,0.025781,0.520095
refrigerator#128,0.506375,0.878442,0.405645,0.295136,0.498055,0.650506,0.688231,0.824655,0.563014,0.866927,0.272429,0.352868,0.200344,0.214921,0.734393,0.422492,0.244853,0.228855,0.079711,1.000000,0.151662,0.000682,0.077709,0.003157,0.002995,0.003174,0.002924,0.192991,0.476539,0.073671,0.104207,0.059469,0.028577,0.264560,0.506907,0.519438,0.000836,0.000920,0.125180,0.134366,0.006850,0.000424,0.095295,0.351322,0.001331,0.095224,0.003881,0.004102,0.052346,0.029432,0.060265
clock#200,0.016467,0.161376,0.018796,0.024751,0.026925,0.025111,0.031085,0.054317,0.019581,0.203217,0.203796,0.031425,0.022099,0.708333,0.029100,0.012709,0.120466,0.070591,0.815246,0.151662,1.000000,0.020235,0.250951,0.042545,0.039671,0.039487,0.038977,0.024140,0.024792,0.015822,0.018714,0.013579,0.013630,0.301268,0.020555,0.021495,0.000534,0.000487,0.021873,0.023198,0.003525,0.000585,0.038380,0.779292,0.002344,0.038353,0.001966,0.002271,0.195035,0.012750,0.278057
