id,mem:c0,mem:c1,mem:c2,mem:c3,mem:c4,mem:c5,mem:c7,mem:c8,mem:c9,mem:c11,mem:c12,mem:c13,mem:c14,mem:c16,mem:c17,mem:c19,mem:c20,mem:c21,mem:c22,cur:obj518@view_00058,cur:obj519@view_00058,cur:obj520@view_00058,cur:obj521@view_00058,cur:obj522@view_00058,cur:obj523@view_00058,cur:obj524@view_00058,cur:obj525@view_00058,cur:obj526@view_00058,cur:obj527@view_00058,cur:obj528@view_00058,cur:obj529@view_00058,cur:obj530@view_00058,cur:obj531@view_00058,cur:obj532@view_00058
cur:obj523@view_00058,0.458459,0.427551,0.654699,0.000000,0.000000,0.368710,0.592486,0.535703,0.000000,0.352885,0.539859,0.551410,0.000000,0.368564,0.627082,0.533022,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cur:obj524@view_00058,0.474160,0.404902,0.712770,0.000000,0.000000,0.000000,0.597610,0.528412,0.000000,0.360248,0.596477,0.633270,0.438916,0.000000,0.680193,0.527743,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cur:obj525@view_00058,0.396555,0.356050,0.592911,0.000000,0.000000,0.366974,0.636141,0.584284,0.000000,0.000000,0.527084,0.595572,0.000000,0.424387,0.528151,0.602094,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cur:obj526@view_00058,0.400295,0.000000,0.627040,0.000000,0.000000,0.000000,0.559157,0.510065,0.000000,0.000000,0.471356,0.513378,0.000000,0.000000,0.535895,0.516476,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cur:obj527@view_00058,0.449958,0.397337,0.656742,0.000000,0.000000,0.000000,0.586833,0.508495,0.000000,0.000000,0.470579,0.521055,0.000000,0.361750,0.574549,0.522571,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cur:obj528@view_00058,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.393026,0.418176,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000
cur:obj529@view_00058,0.427136,0.515314,0.424680,0.000000,0.000000,0.000000,0.374607,0.405877,0.000000,0.000000,0.471404,0.520603,0.748316,0.000000,0.404258,0.363973,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
cur:obj530@view_00058,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.352144,0.000000,0.000000,0.000000,0.353205,0.412445,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
cur:obj531@view_00058,0.427562,0.519658,0.423220,0.000000,0.000000,0.000000,0.378064,0.436490,0.000000,0.000000,0.494952,0.555123,0.753595,0.000000,0.393618,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
cur:obj532@view_00058,0.000000,0.000000,0.399973,0.000000,0.000000,0.365897,0.415711,0.361576,0.000000,0.000000,0.437226,0.490057,0.000000,0.359924,0.356646,0.351792,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
