id,mem:c0,mem:c1,mem:c2,mem:c3,mem:c4,mem:c5,mem:c7,mem:c8,mem:c9,mem:c11,mem:c12,mem:c13,mem:c14,mem:c16,mem:c17,mem:c19,mem:c20,mem:c21,mem:c22,cur:obj518@view_00058,cur:obj519@view_00058,cur:obj520@view_00058,cur:obj521@view_00058,cur:obj522@view_00058,cur:obj523@view_00058,cur:obj524@view_00058,cur:obj525@view_00058,cur:obj526@view_00058,cur:obj527@view_00058,cur:obj528@view_00058,cur:obj529@view_00058,cur:obj530@view_00058,cur:obj531@view_00058,cur:obj532@view_00058
cur:obj523@view_00058,-0.095057,-0.095108,-0.108064,-0.000000,-0.000000,-0.108257,-0.091326,-0.091777,-0.000000,-0.170449,-0.086090,-0.084756,-0.000000,-0.091501,-0.116033,-0.098607,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000
cur:obj524@view_00058,-0.098772,-0.090490,-0.118198,-0.000000,-0.000000,-0.000000,-0.092546,-0.090951,-0.000000,-0.174818,-0.095563,-0.097792,-0.106964,-0.000000,-0.126448,-0.098086,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000
cur:obj525@view_00058,-0.085104,-0.081979,-0.101296,-0.000000,-0.000000,-0.111524,-0.101492,-0.103609,-0.000000,-0.000000,-0.087000,-0.094753,-0.000000,-0.109053,-0.101153,-0.115289,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000
cur:obj526@view_00058,-0.100081,-0.000000,-0.124801,-0.000000,-0.000000,-0.000000,-0.103929,-0.105371,-0.000000,-0.000000,-0.090637,-0.095152,-0.000000,-0.000000,-0.119570,-0.115212,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000
cur:obj527@view_00058,-0.101782,-0.096428,-0.118262,-0.000000,-0.000000,-0.000000,-0.098683,-0.095041,-0.000000,-0.000000,-0.081869,-0.087376,-0.000000,-0.097979,-0.115983,-0.105468,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000
cur:obj528@view_00058,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.170601,-0.174961,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000000
cur:obj529@view_00058,-0.100621,-0.130239,-0.079641,-0.000000,-0.000000,-0.000000,-0.065604,-0.079003,-0.000000,-0.000000,-0.085409,-0.090916,-0.206232,-0.000000,-0.084987,-0.076501,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.000000
cur:obj530@view_00058,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.125866,-0.000000,-0.000000,-0.000000,-0.130609,-0.147005,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000
cur:obj531@view_00058,-0.103821,-0.135378,-0.081810,-0.000000,-0.000000,-0.000000,-0.068247,-0.087577,-0.000000,-0.000000,-0.092435,-0.099928,-0.214079,-0.000000,-0.085297,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,1.000000,-0.000000
cur:obj532@view_00058,-0.000000,-0.000000,-0.086039,-0.000000,-0.000000,-0.140008,-0.083509,-0.080730,-0.000000,-0.000000,-0.090866,-0.098167,-0.000000,-0.116453,-0.086004,-0.084815,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,1.000000
