id,mem:c0,mem:c3,mem:c5,mem:c20,mem:c22,mem:c23,mem:c24,mem:c25,mem:c26,mem:c27,mem:c28,mem:c29,mem:c30,mem:c31,mem:c32,mem:c33,mem:c34,cur:obj587@view_00065,cur:obj588@view_00065,cur:obj589@view_00065,cur:obj590@view_00065,cur:obj591@view_00065,cur:obj592@view_00065,cur:obj593@view_00065,cur:obj594@view_00065,cur:obj595@view_00065
mem:c28,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.278876,-0.000000
mem:c29,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.163172,-0.000000,-0.000000,-0.129103,-0.000000,-0.157311,-0.163814,-0.124462,-0.000000
mem:c30,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.198642,-0.000000,-0.196169,-0.000000,-0.000000,-0.000000
mem:c31,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.194035,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.189133,-0.203277
mem:c32,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.177181,-0.000000,-0.129087,-0.000000,-0.169921,-0.168497,-0.095917,-0.110752
mem:c33,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.134647,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.229543,-0.313039
mem:c34,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,1.000000,-0.000000,-0.167521,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.247498,-0.240286
cur:obj587@view_00065,-0.143689,-0.202084,-0.186824,-0.000000,-0.000000,-0.140903,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.163172,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000
cur:obj588@view_00065,-0.121704,-0.000000,-0.137636,-0.000000,-0.000000,-0.109045,-0.141123,-0.000000,-0.137259,-0.000000,-0.000000,-0.000000,-0.000000,-0.194035,-0.177181,-0.134647,-0.167521,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000
cur:obj589@view_00065,-0.171309,-0.230943,-0.000000,-0.660672,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000
cur:obj590@view_00065,-0.111418,-0.111268,-0.136785,-0.000000,-0.000000,-0.137343,-0.146093,-0.156996,-0.147257,-0.267685,-0.000000,-0.129103,-0.198642,-0.000000,-0.129087,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000
