id,mem:c0,mem:c1,mem:c2,mem:c3,mem:c6,mem:c11,mem:c25,mem:c43,mem:c44,mem:c45,mem:c46,mem:c47,mem:c48,mem:c49,mem:c50,mem:c51,mem:c52,mem:c53,mem:c54,cur:obj221@view_00027,cur:obj222@view_00027,cur:obj223@view_00027,cur:obj224@view_00027,cur:obj225@view_00027,cur:obj226@view_00027,cur:obj227@view_00027,cur:obj228@view_00027,cur:obj229@view_00027,cur:obj230@view_00027,cur:obj231@view_00027,cur:obj232@view_00027,cur:obj233@view_00027,cur:obj234@view_00027,cur:obj235@view_00027,cur:obj236@view_00027,cur:obj237@view_00027,cur:obj238@view_00027
mem:c46,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.433629,0.740619,0.664679,0.000000,0.489216,0.472871,0.697214,0.000000,0.670242,0.000000,0.724141,0.000000,0.580890,0.445518,0.368098,0.000000,0.737969,0.552497
mem:c47,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.475870,0.648515,0.588502,0.000000,0.363386,0.449905,0.762483,0.000000,0.678925,0.000000,0.755360,0.000000,0.579275,0.449367,0.393036,0.356408,0.764762,0.597611
mem:c48,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.427271,0.687014,0.557580,0.000000,0.390759,0.414472,0.821132,0.000000,0.715233,0.000000,0.793029,0.000000,0.613530,0.435844,0.403675,0.000000,0.845573,0.625383
mem:c49,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.479402,0.644291,0.566943,0.000000,0.434799,0.414356,0.793630,0.000000,0.653186,0.000000,0.770354,0.000000,0.612054,0.506408,0.368235,0.000000,0.755075,0.562667
mem:c50,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.836125,0.375820,0.408621,0.443504,0.409510,0.366902,0.431322,0.000000,0.443757,0.414191,0.494332,0.354578,0.414740,0.000000,0.502542,0.564553,0.471698,0.440283
mem:c51,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.366701,0.380322,0.000000,0.427813,0.446462,0.000000,0.566803,0.000000,0.000000,0.000000,0.370271,0.000000,0.000000,0.000000,0.000000,0.000000,0.387249
mem:c52,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.369394,0.000000,0.000000,0.000000,0.368814,0.000000,0.387320,0.389697,0.474137,0.356640,0.373617,0.477679
mem:c53,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.353368,0.360753,0.000000,0.000000,0.000000,0.388880
mem:c54,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.395077,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.355091,0.000000,0.000000,0.000000
cur:obj221@view_00027,0.000000,0.357692,0.000000,0.499369,0.410798,0.000000,0.000000,0.452779,0.000000,0.000000,0.433629,0.475870,0.427271,0.479402,0.836125,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cur:obj222@view_00027,0.000000,0.000000,0.000000,0.758451,0.364912,0.000000,0.000000,0.733411,0.622291,0.772623,0.740619,0.648515,0.687014,0.644291,0.375820,0.366701,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cur:obj223@view_00027,0.000000,0.000000,0.000000,0.747612,0.354667,0.000000,0.000000,0.757869,0.640936,0.797042,0.664679,0.588502,0.557580,0.566943,0.408621,0.380322,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cur:obj224@view_00027,0.000000,0.450617,0.000000,0.511320,0.000000,0.000000,0.000000,0.397611,0.480949,0.455350,0.000000,0.000000,0.000000,0.000000,0.443504,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
