id,mem:c0,mem:c1,mem:c2,mem:c3,mem:c4,mem:c5,mem:c6,mem:c7,mem:c8,mem:c9,mem:c10,mem:c11,mem:c12,mem:c13,mem:c14,mem:c15,mem:c16,mem:c17,mem:c18,mem:c19,mem:c20,mem:c21,mem:c22,mem:c23,mem:c24,mem:c25,mem:c26,mem:c27,mem:c28,cur:obj184@view_00023,cur:obj185@view_00023,cur:obj186@view_00023,cur:obj187@view_00023,cur:obj188@view_00023,cur:obj189@view_00023,cur:obj190@view_00023,cur:obj191@view_00023,cur:obj192@view_00023,cur:obj193@view_00023,cur:obj194@view_00023,cur:obj195@view_00023,cur:obj196@view_00023,cur:obj197@view_00023,cur:obj198@view_00023
mem:c10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.457556,0.000000,0.000000,0.430889,0.811801,0.607430,0.000000,0.648118,0.757615,0.706263,0.000000,0.575143,0.621206,0.000000,0.728879
mem:c11,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.374730,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
mem:c12,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.516690,0.350618,0.000000,0.453914,0.915977,0.774241,0.000000,0.712361,0.794127,0.824150,0.375670,0.703055,0.727394,0.000000,0.836122
mem:c13,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.556826,0.401457,0.000000,0.380199,0.668660,0.849032,0.000000,0.610508,0.570989,0.704145,0.389531,0.889986,0.839343,0.000000,0.713957
mem:c14,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.508218,0.601514,0.500511,0.000000,0.608282,0.569169,0.599790,0.000000,0.491154,0.538227,0.000000,0.558811
mem:c15,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.476071,0.000000,0.000000,0.540181,0.700912,0.532889,0.000000,0.727495,0.645533,0.593051,0.400803,0.511392,0.515864,0.359667,0.651221
mem:c16,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.413011,0.000000,0.000000,0.477533,0.545215,0.471488,0.000000,0.659711,0.516665,0.507000,0.389510,0.572687,0.465902,0.000000,0.598790
mem:c17,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.354983,0.000000,0.000000,0.434845,0.677236,0.612239,0.000000,0.580632,0.637655,0.628600,0.000000,0.581588,0.580996,0.000000,0.632184
mem:c18,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.527132,0.000000,0.418512,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.518951,0.000000,0.000000,0.474701,0.000000
mem:c19,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.442448,0.646243,0.547045,0.000000,0.514613,0.604942,0.583665,0.000000,0.539649,0.533464,0.000000,0.606752
mem:c20,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.512422,0.000000,0.000000,0.000000,0.578457,0.592644,0.000000,0.512919,0.471893,0.551472,0.000000,0.682151,0.582067,0.000000,0.694492
mem:c21,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.452787,0.000000,0.000000,0.000000,0.475159,0.365957,0.000000,0.487643,0.420372,0.453880,0.000000,0.000000,0.354227,0.000000,0.489184
mem:c22,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.508584,0.000000,0.000000,0.405938,0.721928,0.736643,0.000000,0.601398,0.588226,0.678927,0.381203,0.707344,0.706034,0.000000,0.709163
mem:c23,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.671578,0.000000,0.000000,0.394421,0.410317,0.000000,0.361162,0.000000,0.000000,0.674277,0.433038,0.369237,0.777525,0.370851
mem:c24,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.398284,0.000000,0.000000,0.000000,0.396711,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
mem:c25,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.722727,0.000000,0.000000,0.000000,0.803954,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
