id,mem:c0,mem:c1,mem:c2,mem:c3,mem:c4,mem:c5,mem:c6,mem:c7,mem:c8,mem:c9,mem:c10,mem:c11,mem:c12,mem:c13,mem:c14,mem:c15,mem:c16,mem:c17,mem:c18,mem:c19,mem:c20,mem:c21,mem:c22,mem:c23,cur:obj128@view_00019,cur:obj129@view_00019,cur:obj130@view_00019,cur:obj131@view_00019,cur:obj132@view_00019,cur:obj133@view_00019,cur:obj134@view_00019,cur:obj135@view_00019,cur:obj136@view_00019,cur:obj137@view_00019,cur:obj138@view_00019,cur:obj139@view_00019,cur:obj140@view_00019,cur:obj141@view_00019,cur:obj142@view_00019,cur:obj143@view_00019,cur:obj144@view_00019,cur:obj145@view_00019,cur:obj146@view_00019,cur:obj147@view_00019
mem:c10,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.069192,-0.000000,-0.093230,-0.000000,-0.000000,-0.000000,-0.063732,-0.080991,-0.058193,-0.000000,-0.074783,-0.000000,-0.068173,-0.066946,-0.071822,-0.090790,-0.048682,-0.080885,-0.077344,-0.070139
mem:c11,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.189423,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.182814,-0.000000,-0.000000,-0.000000
mem:c12,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.067044,-0.000000,-0.090943,-0.000000,-0.000000,-0.000000,-0.075415,-0.075741,-0.056830,-0.000000,-0.074550,-0.000000,-0.068077,-0.067651,-0.065638,-0.091239,-0.047794,-0.086278,-0.073884,-0.078100
mem:c13,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.089590,-0.000000,-0.068963,-0.000000,-0.000000,-0.000000,-0.103485,-0.066443,-0.054752,-0.000000,-0.055055,-0.073244,-0.051822,-0.059695,-0.000000,-0.074118,-0.000000,-0.076726,-0.055054,-0.095725
mem:c14,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.073814,-0.073095,-0.000000,-0.074119,-0.057003,-0.061459,-0.079356,-0.000000,-0.000000,-0.000000,-0.067591,-0.061145,-0.000000,-0.069270,-0.080388,-0.063370,-0.067379,-0.065026
mem:c15,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.062156,-0.000000,-0.068269,-0.000000,-0.000000,-0.061644,-0.055567,-0.068434,-0.068736,-0.000000,-0.062600,-0.000000,-0.083343,-0.066012,-0.074912,-0.067051,-0.060682,-0.068961,-0.074789,-0.058362
mem:c16,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.056702,-0.000000,-0.060282,-0.070345,-0.000000,-0.063958,-0.061622,-0.062080,-0.083316,-0.000000,-0.060357,-0.000000,-0.077117,-0.072656,-0.067414,-0.061370,-0.064870,-0.057969,-0.072375,-0.055005
mem:c17,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.055708,-0.000000,-0.079243,-0.000000,-0.000000,-0.061589,-0.066086,-0.077207,-0.066455,-0.000000,-0.000000,-0.000000,-0.065041,-0.062975,-0.000000,-0.071305,-0.063302,-0.069038,-0.064835,-0.070820
mem:c18,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.219026,-0.184560,-0.107868,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.115998,-0.059960,-0.064290,-0.000000,-0.000000,-0.076864,-0.000000,-0.000000,-0.000000
mem:c19,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.079259,-0.000000,-0.000000,-0.065240,-0.064402,-0.081127,-0.067679,-0.000000,-0.000000,-0.000000,-0.068301,-0.059431,-0.000000,-0.071103,-0.065450,-0.073239,-0.066722,-0.062803
mem:c20,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.081590,-0.000000,-0.071800,-0.000000,-0.000000,-0.000000,-0.081416,-0.078557,-0.057288,-0.000000,-0.066717,-0.073673,-0.056178,-0.064978,-0.062262,-0.076942,-0.000000,-0.079531,-0.059179,-0.071393
mem:c21,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.074068,-0.000000,-0.061650,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.159431,-0.000000,-0.063120,-0.075051,-0.134203,-0.071737,-0.000000,-0.065815,-0.072887,-0.000000
mem:c22,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,1.000000,-0.000000,-0.081699,-0.000000,-0.086094,-0.000000,-0.000000,-0.000000,-0.086137,-0.077596,-0.056882,-0.000000,-0.065585,-0.070559,-0.064666,-0.066712,-0.000000,-0.086127,-0.000000,-0.087917,-0.065788,-0.086450
mem:c23,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.051941,-0.000000,-0.194651,-0.000000,-0.066416,-0.054889,-0.000000,-0.000000,-0.000000,-0.195590,-0.049933,-0.047740,-0.000000,-0.050742,-0.000000,-0.058591,-0.052348,-0.068747
cur:obj128@view_00019,-0.000000,-0.000000,-0.000000,-0.062893,-0.065197,-0.000000,-0.000000,-0.000000,-0.143817,-0.000000,-0.069192,-0.000000,-0.067044,-0.089590,-0.000000,-0.062156,-0.056702,-0.055708,-0.000000,-0.000000,-0.081590,-0.074068,-0.081699,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000
cur:obj129@view_00019,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000
cur:obj130@view_00019,-0.000000,-0.000000,-0.000000,-0.078054,-0.082369,-0.000000,-0.000000,-0.000000,-0.055904,-0.064364,-0.093230,-0.000000,-0.090943,-0.068963,-0.073814,-0.068269,-0.060282,-0.079243,-0.000000,-0.079259,-0.071800,-0.061650,-0.086094,-0.051941,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000
cur:obj131@view_00019,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.120382,-0.138133,-0.220940,-0.000000,-0.081116,-0.000000,-0.000000,-0.000000,-0.000000,-0.073095,-0.000000,-0.070345,-0.000000,-0.219026,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000
cur:obj132@view_00019,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.307118,-0.127231,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.184560,-0.000000,-0.000000,-0.000000,-0.000000,-0.194651,-0.000000,-0.000000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000
cur:obj133@view_00019,-0.140086,-0.086185,-0.000000,-0.063935,-0.000000,-0.157370,-0.000000,-0.110506,-0.000000,-0.067776,-0.000000,-0.189423,-0.000000,-0.000000,-0.074119,-0.061644,-0.063958,-0.061589,-0.107868,-0.065240,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000
cur:obj134@view_00019,-0.000000,-0.000000,-0.000000,-0.060909,-0.066977,-0.000000,-0.073339,-0.000000,-0.067385,-0.054093,-0.063732,-0.000000,-0.075415,-0.103485,-0.057003,-0.055567,-0.061622,-0.066086,-0.000000,-0.064402,-0.081416,-0.000000,-0.086137,-0.066416,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000
