id,mem:c0,mem:c1,mem:c2,mem:c3,mem:c4,mem:c5,mem:c6,mem:c7,mem:c8,mem:c9,mem:c10,mem:c11,mem:c12,mem:c13,mem:c14,mem:c15,mem:c16,mem:c17,mem:c18,mem:c19,mem:c20,mem:c21,mem:c22,mem:c23,cur:obj128@view_00019,cur:obj129@view_00019,cur:obj130@view_00019,cur:obj131@view_00019,cur:obj132@view_00019,cur:obj133@view_00019,cur:obj134@view_00019,cur:obj135@view_00019,cur:obj136@view_00019,cur:obj137@view_00019,cur:obj138@view_00019,cur:obj139@view_00019,cur:obj140@view_00019,cur:obj141@view_00019,cur:obj142@view_00019,cur:obj143@view_00019,cur:obj144@view_00019,cur:obj145@view_00019,cur:obj146@view_00019,cur:obj147@view_00019
mem:c22,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.588130,0.000000,0.792715,0.000000,0.000000,0.000000,0.737003,0.672117,0.515779,0.000000,0.447988,0.368397,0.618136,0.645230,0.000000,0.784799,0.000000,0.813913,0.614737,0.739571
mem:c23,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.369083,0.000000,0.672117,0.000000,0.438550,0.366915,0.000000,0.000000,0.000000,0.788107,0.368354,0.356344,0.000000,0.356827,0.000000,0.418610,0.377492,0.453879
cur:obj128@view_00019,0.000000,0.000000,0.000000,0.410315,0.468355,0.000000,0.000000,0.000000,0.911626,0.000000,0.516211,0.000000,0.503381,0.602324,0.000000,0.452050,0.421845,0.365773,0.000000,0.000000,0.572901,0.401912,0.588130,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cur:obj129@view_00019,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cur:obj130@view_00019,0.000000,0.000000,0.000000,0.651321,0.756822,0.000000,0.000000,0.000000,0.453243,0.587021,0.889638,0.000000,0.873360,0.593027,0.618558,0.635050,0.573625,0.665489,0.000000,0.635390,0.644840,0.427879,0.792715,0.369083,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cur:obj131@view_00019,0.000000,0.000000,0.000000,0.000000,0.000000,0.450287,0.470270,0.806322,0.000000,0.446458,0.000000,0.000000,0.000000,0.000000,0.369653,0.000000,0.403956,0.000000,0.755834,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cur:obj132@view_00019,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.841903,0.373882,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.512833,0.000000,0.000000,0.000000,0.000000,0.672117,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cur:obj133@view_00019,0.384374,0.382969,0.000000,0.410250,0.000000,0.750057,0.000000,0.513880,0.000000,0.475330,0.000000,0.434316,0.000000,0.000000,0.477619,0.440948,0.467994,0.397735,0.474315,0.402175,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cur:obj134@view_00019,0.000000,0.000000,0.000000,0.472297,0.571857,0.000000,0.384461,0.000000,0.507678,0.458443,0.565135,0.000000,0.673002,0.826932,0.443894,0.480331,0.544886,0.515735,0.000000,0.479763,0.679465,0.000000,0.737003,0.438550,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
cur:obj135@view_00019,0.000000,0.000000,0.000000,0.692683,0.885556,0.000000,0.000000,0.000000,0.417700,0.489224,0.727036,0.000000,0.684253,0.537483,0.484500,0.598856,0.555713,0.609957,0.000000,0.611822,0.663706,0.000000,0.672117,0.366915,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
